arch,norm,dataset,method,candidate,clean_mean,clean_std,aa_mean,aa_std,mean_mean,mean_std,G_of_mean_accuracies,per_seed_G_mean,per_seed_G_std
r18,Linf,cifar100,Ours,e15ri09,59.696666666666665,0.15923427883328273,25.346666666666668,0.0573488351136178,42.52166666666667,0.10819221578078343,38.898734055379116,38.89873298059506,0.09577319231700684
r18,Linf,tinyimagenet,PGD-AT,recorded_baseline,46.81333333333333,0.12498888839501975,16.503333333333334,0.07408703590297684,31.65833333333333,0.08389808632435558,27.795252192495834,27.795189050078356,0.08385903094353432
r18,Linf,tinyimagenet,TRADES,recorded_baseline,47.620000000000005,0.09273618495495724,15.396666666666667,0.06548960901462839,31.508333333333336,0.07706418681131341,27.077467877677684,27.077444003978936,0.08201348294837892
r18,Linf,tinyimagenet,MART,recorded_baseline,40.723333333333336,0.2104492549021939,16.836666666666666,0.11897712198383123,28.78,0.08860022573334676,26.18482745577845,26.184447699480017,0.07978308005045343
r18,Linf,tinyimagenet,Cons-AT,recorded_baseline,47.193333333333335,0.9288104698424134,16.843333333333334,0.31846855766656545,32.01833333333333,0.6094578647362663,28.19384763462491,28.19353776576016,0.5275366502170302
r18,Linf,tinyimagenet,RAAT,recorded_baseline,49.016666666666666,0.6221646798789607,15.306666666666667,0.2148384405909601,32.16166666666667,0.3957341981122631,27.391271926980277,27.390929719658647,0.33961118854865274
r18,Linf,tinyimagenet,RAAT++,recorded_baseline,40.76,0.49443570529105785,16.416666666666668,0.07408703590297609,28.588333333333335,0.2123021955190809,25.867804957771995,25.866925287936112,0.10332544861389437
r18,Linf,tinyimagenet,Ours,g19rt03,49.583333333333336,0.2380942857123822,15.936666666666667,0.08653836657164816,32.76,0.08953584012375679,28.110372739534345,28.110045610638576,0.048329781903690916
r18,L2,cifar10,PGD-AT,recorded_baseline,89.55666666666667,0.05436502143433095,68.51666666666667,0.1746106780494513,79.03666666666666,0.11447949840716487,78.33341737584144,78.33338048032573,0.12356856878118096
r18,L2,cifar10,TRADES,recorded_baseline,86.53666666666666,0.18909139471577133,69.52,0.1143095213298821,78.02833333333334,0.09577171932372076,77.56306509329467,77.56297300586381,0.09065589689621406
r18,L2,cifar10,MART,recorded_baseline,86.7,0.3179098404684345,68.45666666666666,0.09392668535736491,77.57833333333333,0.2038109145479868,77.0402037899693,77.04014757020035,0.19182204014769644
r18,L2,cifar10,Cons-AT,recorded_baseline,89.69,0.6116098974564276,69.24666666666667,0.0899382504215466,79.46833333333333,0.2664686764997996,78.80820727140882,78.80757809406758,0.22383389847276638
r18,L2,cifar10,RAAT,recorded_baseline,90.15333333333334,0.009428090415818758,68.33,0.155777619273976,79.24166666666666,0.07408703590297876,78.48679676650504,78.48674183522336,0.08615542738185408
r18,L2,cifar10,RAAT++,recorded_baseline,87.09666666666666,0.16779617264870839,68.97666666666666,0.023570226039556944,78.03666666666666,0.0744237118725454,77.5089526728651,77.50890501323258,0.06411174896167807
r18,L2,cifar10,Ours,reference,89.97666666666667,0.16213848676020587,69.61333333333333,0.18624953392932142,79.795,0.09721111047612159,79.14275512571501,79.14261545572492,0.10256133409567937
r18,L2,cifar100,PGD-AT,recorded_baseline,65.79666666666667,0.2764456948882052,39.48,0.1275408431313913,52.638333333333335,0.10036046144883148,50.967169825290476,50.966862549722464,0.07156701542979507
r18,L2,cifar100,TRADES,recorded_baseline,62.223333333333336,0.14197026292697926,40.75333333333334,0.21913973218524718,51.48833333333334,0.052651896663104776,50.35680931556769,50.35645248484568,0.08598337908620764
r18,L2,cifar100,MART,recorded_baseline,61.54,0.16872067646458225,41.03666666666667,0.23299976156401694,51.288333333333334,0.037932688922471855,50.253322941539565,50.25288209247895,0.07621066904025382
r18,L2,cifar100,Cons-AT,recorded_baseline,66.12333333333333,0.6352077525415523,40.25333333333333,0.1558489297008125,53.18833333333333,0.3271425105702762,51.59151652915213,51.5908274921373,0.26693072109337057
r18,L2,cifar100,RAAT,recorded_baseline,66.82,0.029439202887756852,38.60666666666667,0.12552113589175184,52.71333333333333,0.07663042621714826,50.79072224990177,50.79067074185397,0.09308916466804203
r18,L2,cifar100,RAAT++,recorded_baseline,60.77,0.6794605703546489,40.74,0.16512621435334562,50.755,0.25719642299223017,49.75710803493306,49.755667974862966,0.17645880122417432
r18,L2,cifar100,Ours,2108,67.82333333333334,0.20853989759489047,40.60333333333333,0.3167894498804449,54.21333333333333,0.24920986247649712,52.47717038018639,52.47695874557466,0.2729483747055723
r18,L2,tinyimagenet,PGD-AT,recorded_baseline,58.53,0.3353605025441519,39.85333333333333,0.28755675768252803,49.19166666666666,0.2704728370013427,48.29715933675603,48.296899153902444,0.2717819918808345
r18,L2,tinyimagenet,TRADES,recorded_baseline,56.31,0.3275159029217752,40.61,0.06377042156569397,48.46,0.18587630295440924,47.81996549559609,47.81981909795482,0.16563445356742568
r18,L2,tinyimagenet,MART,recorded_baseline,56.449999999999996,0.3612016980395669,41.07333333333333,0.1558489297008125,48.76166666666666,0.19288741678905924,48.151735863483324,48.151388203298225,0.17468284195124267
r18,L2,tinyimagenet,Cons-AT,recorded_baseline,59.39666666666667,0.3239684483951441,40.906666666666666,0.24499433100017337,50.151666666666664,0.2417413677649934,49.29218644414593,49.2919557862429,0.2390148539492925
