arch,norm,dataset,method,candidate,available_seeds,record_count,status,evidence
wrn,Linf,cifar10,RAAT++,recorded_baseline,,0,missing_records,
wrn,Linf,cifar10,Ours,w2c05,"0,1,2",3,complete_records,training_and_full_aa_checked
wrn,Linf,cifar100,PGD-AT,recorded_baseline,,0,missing_records,
wrn,Linf,cifar100,TRADES,recorded_baseline,,0,missing_records,
wrn,Linf,cifar100,MART,recorded_baseline,,0,missing_records,
wrn,Linf,cifar100,Cons-AT,recorded_baseline,,0,missing_records,
wrn,Linf,cifar100,RAAT,recorded_baseline,,0,missing_records,
wrn,Linf,cifar100,RAAT++,recorded_baseline,,0,missing_records,
wrn,Linf,cifar100,Ours,e15wi08,"0,1,2",3,complete_records,training_and_full_aa_checked
wrn,Linf,tinyimagenet,PGD-AT,recorded_baseline,,0,missing_records,
wrn,Linf,tinyimagenet,TRADES,recorded_baseline,,0,missing_records,
wrn,Linf,tinyimagenet,MART,recorded_baseline,,0,missing_records,
wrn,Linf,tinyimagenet,Cons-AT,recorded_baseline,,0,missing_records,
wrn,Linf,tinyimagenet,RAAT,recorded_baseline,,0,missing_records,
wrn,Linf,tinyimagenet,RAAT++,recorded_baseline,,0,missing_records,
wrn,Linf,tinyimagenet,Ours,e15wt03,"0,1,2",3,complete_records,training_and_full_aa_checked
wrn,L2,cifar10,PGD-AT,recorded_baseline,,0,missing_records,
wrn,L2,cifar10,TRADES,recorded_baseline,,0,missing_records,
wrn,L2,cifar10,MART,recorded_baseline,,0,missing_records,
wrn,L2,cifar10,Cons-AT,recorded_baseline,,0,missing_records,
wrn,L2,cifar10,RAAT,recorded_baseline,,0,missing_records,
wrn,L2,cifar10,RAAT++,recorded_baseline,,0,missing_records,
wrn,L2,cifar10,Ours,reference,"0,1,2",3,complete_records,native_result_record
wrn,L2,cifar100,PGD-AT,recorded_baseline,,0,missing_records,
wrn,L2,cifar100,TRADES,recorded_baseline,,0,missing_records,
wrn,L2,cifar100,MART,recorded_baseline,,0,missing_records,
wrn,L2,cifar100,Cons-AT,recorded_baseline,,0,missing_records,
wrn,L2,cifar100,RAAT,recorded_baseline,,0,missing_records,
wrn,L2,cifar100,RAAT++,recorded_baseline,,0,missing_records,
wrn,L2,cifar100,Ours,n03,"0,1,2",3,complete_records,training_and_full_aa_checked
wrn,L2,tinyimagenet,PGD-AT,recorded_baseline,,0,missing_records,
wrn,L2,tinyimagenet,TRADES,recorded_baseline,,0,missing_records,
wrn,L2,tinyimagenet,MART,recorded_baseline,,0,missing_records,
wrn,L2,tinyimagenet,Cons-AT,recorded_baseline,,0,missing_records,
wrn,L2,tinyimagenet,RAAT,recorded_baseline,,0,missing_records,
wrn,L2,tinyimagenet,RAAT++,recorded_baseline,,0,missing_records,
wrn,L2,tinyimagenet,Ours,e15w207,"0,1,2",3,complete_records,training_and_full_aa_checked
