arch,norm,dataset,method,candidate,seed,clean,aa,evidence,source_sha256
r18,L2,tinyimagenet,RAAT,recorded_baseline,2,58.49,38.9,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,tinyimagenet,RAAT++,recorded_baseline,0,56.14,40.91,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,tinyimagenet,RAAT++,recorded_baseline,1,56.3,41.3,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,tinyimagenet,RAAT++,recorded_baseline,2,56.24,41.42,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,tinyimagenet,TRADES,recorded_baseline,0,56.18,40.66,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,tinyimagenet,TRADES,recorded_baseline,1,56.76,40.65,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,L2,tinyimagenet,TRADES,recorded_baseline,2,55.99,40.52,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,cifar10,Cons-AT,recorded_baseline,0,85.06,48.39,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,cifar10,Cons-AT,recorded_baseline,1,83.33,48.74,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,cifar10,Cons-AT,recorded_baseline,2,84.35,48.38,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,cifar10,MART,recorded_baseline,0,78.78,47.95,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,cifar10,MART,recorded_baseline,1,78.77,48.03,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,cifar10,MART,recorded_baseline,2,77.85,47.96,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,cifar10,Ours,reference,0,86.03,49.06,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,cifar10,Ours,reference,1,85.43,48.85,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,cifar10,Ours,reference,2,85.25,49.15,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,cifar10,PGD-AT,recorded_baseline,0,84.34,48.04,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,cifar10,PGD-AT,recorded_baseline,1,83.96,48.19,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,cifar10,PGD-AT,recorded_baseline,2,84.03,48.6,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,cifar10,RAAT,recorded_baseline,0,85.76,47.83,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,cifar10,RAAT,recorded_baseline,1,85.71,47.6,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,cifar10,RAAT,recorded_baseline,2,85.98,47.8,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,cifar10,RAAT++,recorded_baseline,0,79.3,48.64,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,cifar10,RAAT++,recorded_baseline,1,80.03,48.38,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,cifar10,RAAT++,recorded_baseline,2,79.13,48.44,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,cifar10,TRADES,recorded_baseline,0,81.38,49.7,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,cifar10,TRADES,recorded_baseline,1,81.3,49.62,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,cifar10,TRADES,recorded_baseline,2,81.22,49.55,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,cifar100,Cons-AT,recorded_baseline,0,59.37,25.06,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,cifar100,Cons-AT,recorded_baseline,1,59.02,25.46,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,cifar100,Cons-AT,recorded_baseline,2,58.75,25.36,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,cifar100,MART,recorded_baseline,0,52.73,26.0,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,cifar100,MART,recorded_baseline,1,52.66,25.86,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,cifar100,MART,recorded_baseline,2,53.24,25.96,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,cifar100,Ours,e15ri09,0,59.5,25.28,training_and_full_aa_checked,040c94c6ba3c790c0b886ef150b61c620a7fec56407f5ba44883e33b2a64868d
r18,Linf,cifar100,Ours,e15ri09,1,59.7,25.34,training_and_full_aa_checked,b6fc1db0aa6c8fb236995cc6716864d051e2f88fb013a7917c4ffed368e7bb18
r18,Linf,cifar100,Ours,e15ri09,2,59.89,25.42,training_and_full_aa_checked,a57516920e97e94dea8a02df282cd2d63e6da28f7dbab8a5b03a1f2cdd0a7add
r18,Linf,cifar100,PGD-AT,recorded_baseline,0,58.22,24.63,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,cifar100,PGD-AT,recorded_baseline,1,59.58,25.4,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,cifar100,PGD-AT,recorded_baseline,2,58.93,24.89,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,cifar100,RAAT,recorded_baseline,0,60.43,23.72,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,cifar100,RAAT,recorded_baseline,1,60.72,23.42,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,cifar100,RAAT,recorded_baseline,2,60.6,22.99,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,cifar100,RAAT++,recorded_baseline,0,54.01,25.69,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,cifar100,RAAT++,recorded_baseline,1,54.2,25.43,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,cifar100,RAAT++,recorded_baseline,2,53.66,25.59,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,cifar100,TRADES,recorded_baseline,0,57.37,25.29,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,cifar100,TRADES,recorded_baseline,1,58.28,24.93,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,cifar100,TRADES,recorded_baseline,2,57.64,25.37,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,tinyimagenet,Cons-AT,recorded_baseline,0,45.88,16.45,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,tinyimagenet,Cons-AT,recorded_baseline,1,47.83,16.85,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,tinyimagenet,Cons-AT,recorded_baseline,2,47.87,17.23,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,tinyimagenet,MART,recorded_baseline,0,40.49,16.82,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,tinyimagenet,MART,recorded_baseline,1,41.0,16.7,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,tinyimagenet,MART,recorded_baseline,2,40.68,16.99,archived_per_seed_table,c190d4d035628ca76fdd20c494e40f87b8fe5a549a3186da58f728823a832744
r18,Linf,tinyimagenet,Ours,g19rt03,0,49.42,16.05,training_and_full_aa_checked,31a4eed3ffef4df8465ba78059eb5e45a55742a7e863b37e9d8fd60fcd1b9ea4
